Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Isaiah Thomas,SAC,24,5-9,185,Washington,USA,2011,2,60,79,13.9,2.0,4.0,-2.6,1.4%,6.5%,22.4%,57.4%,24.3%
Ish Smith,MIL,24,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,52,2.4,1.2,1.7,-3.9,2.1%,9.1%,16.8%,37.9%,25.6%
Ivan Johnson,ATL,29,6-8,255,Cal State-San Bernardino,USA,Undrafted,Undrafted,Undrafted,69,6.6,3.9,0.7,-0.9,7.5%,18.7%,20.7%,54.6%,7.9%
J.J. Barea,MIN,29,6-0,175,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,74,11.3,2.8,4.0,-1.7,1.9%,10.4%,24.2%,51.0%,30.1%
JJ Hickson,POR,24,6-9,242,North Carolina State,USA,2008,1,19,80,12.7,10.4,1.1,-5.3,11.7%,25.1%,19.6%,59.1%,6.5%
JJ Redick,MIL,29,6-4,190,Duke,USA,2006,1,11,78,14.1,2.2,3.8,-2.4,0.7%,6.5%,20.3%,57.1%,19.3%
JR Smith,NYK,27,6-6,220,None,USA,2004,1,18,80,18.1,5.3,2.7,5.7,2.4%,14.2%,26.0%,52.2%,14.7%
JaVale McGee,DEN,25,7-0,252,Nevada-Reno,USA,2008,1,18,79,9.1,4.8,0.3,2.6,11.3%,14.1%,20.6%,58.9%,2.7%
Jae Crowder,DAL,22,6-6,235,Marquette,USA,2012,2,34,78,5.0,2.4,1.2,-0.3,2.6%,11.2%,14.6%,49.1%,10.3%
Jamaal Tinsley,UTA,35,6-3,197,Iowa State,USA,2001,1,27,66,3.5,1.7,4.4,0.5,1.5%,8.2%,13.3%,46.7%,35.4%
Jamal Crawford,LAC,33,6-5,200,Michigan,USA,2000,1,8,76,16.5,1.7,2.5,7.8,1.0%,4.7%,25.2%,55.8%,14.8%
Jameer Nelson,ORL,31,6-0,190,None,USA,2004,1,20,56,14.7,3.7,7.4,-4.9,1.2%,9.6%,22.3%,49.8%,32.6%
James Anderson,HOU,24,6-6,215,Oklahoma State,USA,2010,1,20,39,3.8,1.8,1.1,11.9,4.7%,12.5%,16.9%,53.9%,14.4%
James Harden,HOU,23,6-5,220,Arizona State,USA,2009,1,3,78,25.9,4.9,5.8,2.9,2.1%,10.5%,28.5%,60.0%,25.7%
James Johnson,SAC,26,6-9,248,Wake Forest,USA,2009,1,16,54,5.1,2.7,1.1,-15.1,5.3%,11.6%,18.7%,44.2%,11.0%
James Jones,MIA,32,6-8,215,Miami (FL),USA,2003,2,49,38,1.6,0.6,0.3,-6.8,0.0%,8.8%,13.5%,47.8%,11.0%
James White,NYK,30,6-7,215,Cincinnati,USA,2006,2,31,57,2.2,0.8,0.5,-8.7,1.1%,10.5%,14.8%,50.3%,10.7%
Jan Vesely,WAS,23,6-11,240,None,Czech Republi...,2011,1,6,51,2.5,2.4,0.5,-2.2,7.4%,13.3%,12.1%,48.0%,6.9%
Jannero Pargo,CHA,33,6-1,185,Arkansas,USA,Undrafted,Undrafted,Undrafted,32,6.5,1.1,2.1,-8.9,2.1%,5.7%,23.3%,47.5%,23.3%
Jared Cunningham,DAL,22,6-4,195,Oregon State,USA,2012,1,24,8,2.0,0.4,0.1,-12.3,4.2%,7.1%,27.9%,53.8%,11.1%
Jared Dudley,PHX,27,6-7,225,Boston College,USA,2007,1,22,79,10.9,3.1,2.6,-3.2,3.5%,7.9%,17.0%,58.2%,14.7%
Jared Jeffries,POR,31,6-11,240,Indiana,USA,2002,1,11,38,1.2,1.6,0.4,-0.3,7.7%,10.3%,10.4%,34.3%,5.8%
Jared Sullinger,BOS,21,6-9,260,Ohio State,USA,2012,1,21,45,6.0,5.9,0.8,3.6,11.2%,19.5%,14.6%,53.4%,6.2%
Jarrett Jack,GSW,29,6-3,197,Georgia Tech,USA,2005,1,22,79,12.9,3.1,5.6,1.5,0.9%,8.9%,20.7%,54.2%,30.0%
Jarvis Varnado,MIA,25,6-9,230,Mississippi State,USA,2010,2,41,13,0.6,0.7,0.2,-23.0,3.8%,11.3%,12.5%,45.7%,10.7%
Jason Collins,WAS,34,7-0,255,Stanford,USA,2001,1,18,38,1.1,1.6,0.2,2.5,5.9%,10.0%,7.3%,47.6%,2.9%
Jason Kidd,NYK,40,6-4,210,California,USA,1994,1,2,76,6.0,4.3,3.3,4.5,2.4%,14.4%,11.3%,53.2%,17.8%
Jason Maxiell,DET,30,6-7,260,Cincinnati,USA,2005,1,26,72,6.9,5.7,0.8,-5.8,7.7%,16.0%,15.5%,47.8%,4.9%
Jason Richardson,PHI,32,6-6,225,Michigan State,USA,2001,1,5,33,10.5,3.8,1.5,-0.8,2.0%,12.1%,18.3%,49.5%,8.1%
Jason Smith,NOH,27,7-0,240,Colorado State,USA,2007,1,20,51,8.2,3.6,0.7,-3.2,7.7%,14.4%,23.4%,54.4%,7.2%
Jason Terry,BOS,35,6-2,180,Arizona,USA,1999,1,10,79,10.1,2.0,2.5,-0.2,1.0%,6.7%,17.3%,56.6%,15.2%
Jason Thompson,SAC,26,6-11,250,Rider University,USA,2008,1,12,82,10.9,6.7,1.0,-4.5,7.6%,17.5%,18.2%,53.3%,5.9%
Jeff Adrien,CHA,27,6-7,243,Connecticut,USA,Undrafted,Undrafted,Undrafted,52,4.0,3.8,0.7,-7.0,9.1%,18.7%,15.4%,49.3%,8.2%
Jeff Ayres,IND,26,6-9,250,Arizona State,USA,2009,2,31,37,3.9,2.8,0.4,6.6,8.0%,17.7%,18.3%,53.3%,6.8%
Jeff Green,BOS,26,6-9,235,Georgetown,USA,2007,1,5,81,12.8,3.9,1.6,-1.1,2.6%,11.5%,21.6%,56.1%,10.0%
Jeff Teague,ATL,25,6-2,181,Wake Forest,USA,2009,1,19,80,14.6,2.3,7.2,1.1,1.0%,6.0%,22.6%,54.3%,34.8%
Jeffery Taylor,CHA,24,6-7,225,Vanderbilt,Sweden,2012,2,31,77,6.1,1.9,0.8,-8.6,3.3%,6.6%,14.7%,53.1%,7.2%
Jeremy Evans,UTA,25,6-9,194,Western Kentucky,USA,2010,2,55,37,2.0,1.6,0.3,5.1,11.9%,14.5%,12.5%,64.1%,7.6%
Jeremy Lamb,OKC,21,6-5,180,Connecticut,USA,2012,1,12,23,3.1,0.8,0.2,-16.7,3.2%,8.8%,23.8%,47.9%,6.3%
Jeremy Lin,HOU,24,6-3,200,Harvard,USA,Undrafted,Undrafted,Undrafted,82,13.4,3.0,6.1,2.6,1.3%,8.1%,20.6%,53.8%,29.0%
Jeremy Pargo,PHI,27,6-2,219,Gonzaga,USA,Undrafted,Undrafted,Undrafted,39,6.8,1.3,2.4,-7.6,1.1%,6.7%,22.4%,47.8%,25.4%
Jeremy Tyler,ATL,22,6-10,260,None,USA,2011,2,39,21,1.0,1.0,0.0,1.9,8.3%,18.7%,19.6%,41.3%,2.8%
Jermaine O'Neal,PHX,34,6-11,255,None,USA,1996,1,17,55,8.3,5.3,0.8,-7.0,8.1%,20.4%,21.7%,53.8%,7.4%
Jerry Stackhouse,BKN,38,6-6,218,North Carolina,USA,1995,1,3,37,4.9,0.9,0.9,0.7,0.9%,5.6%,16.6%,50.0%,10.7%
Jerryd Bayless,MEM,24,6-3,200,Arizona,USA,2008,1,11,80,8.7,2.2,3.3,0.5,1.3%,9.2%,20.2%,51.4%,25.4%
Jimmer Fredette,SAC,24,6-2,195,Brigham Young,USA,2011,1,10,69,7.2,1.0,1.3,-3.9,1.9%,5.6%,22.9%,54.6%,15.4%
Jimmy Butler,CHI,23,6-7,220,Marquette,USA,2011,1,30,82,8.6,4.0,1.4,2.4,6.4%,9.2%,14.4%,57.4%,8.8%
Joakim Noah,CHI,28,6-11,232,Florida,USA,2007,1,9,66,11.9,11.1,4.0,1.6,11.0%,19.3%,17.0%,53.4%,17.6%
Jodie Meeks,LAL,25,6-4,208,Kentucky,USA,2009,2,41,78,7.9,2.2,0.9,1.3,2.2%,7.6%,16.1%,54.0%,6.6%
