Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Tyler Lydon,6-9,220,Syracuse,USA,2017,1,24,205.74
Anzejs Pasecniks,7-2,229,None,Latvia,2017,1,25,218.44
Caleb Swanigan,6-8,250,Purdue,USA,2017,1,26,203.2
Kyle Kuzma,6-9,220,Utah,USA,2017,1,27,205.74
Tony Bradley,6-10,248,North Carolina,USA,2017,1,28,208.28
Derrick White,6-4,190,Colorado,USA,2017,1,29,193.04
Jayson Tatum,6-8,205,Duke,USA,2017,1,3,203.2
Josh Hart,6-5,215,Villanova,USA,2017,1,30,195.58
Frank Jackson,6-3,205,Duke,USA,2017,2,31,190.5
Davon Reed,6-6,210,Miami,USA,2017,2,32,198.12
Wes Iwundu,6-7,195,Kansas State,USA,2017,2,33,200.66
Frank Mason,5-11,190,Kansas,USA,2017,2,34,180.34
Ivan Rabb,6-10,220,"University of California, Berkeley",USA,2017,2,35,208.28
Jonah Bolden,6-8,225,None,Australia,2017,2,36,203.2
Semi Ojeleye,6-7,235,Southern Methodist,USA,2017,2,37,200.66
Jordan Bell,6-9,224,Oregon,USA,2017,2,38,205.74
Jawun Evans,6-0,190,Oklahoma State,USA,2017,2,39,182.88
Josh Jackson,6-8,200,Kansas,USA,2017,1,4,203.2
Dwayne Bacon,6-7,221,Florida State,USA,2017,2,40,200.66
Tyler Dorsey,6-5,183,Oregon,USA,2017,2,41,195.58
Thomas Bryant,6-10,248,Indiana,USA,2017,2,42,208.28
Isaiah Hartenstein,7-0,250,None,Germany,2017,2,43,213.36
Damyean Dotson,6-5,210,Houston,USA,2017,2,44,195.58
Dillon Brooks,6-6,220,Oregon,Canada,2017,2,45,198.12
Sterling Brown,6-6,230,Southern Methodist,USA,2017,2,46,198.12
Ike Anigbogu,6-10,262,UCLA,USA,2017,2,47,208.28
Sindarius Thornwell,6-5,215,South Carolina,USA,2017,2,48,195.58
Vlatko Cancar,6-8,236,None,Slovenia,2017,2,49,203.2
De'Aaron Fox,6-3,175,Kentucky,USA,2017,1,5,190.5
Monte Morris,6-3,175,Iowa State,USA,2017,2,51,190.5
Edmond Sumner,6-5,188,Xavier,USA,2017,2,52,195.58
Kadeem Allen,6-3,200,Arizona,USA,2017,2,53,190.5
Alec Peters,6-9,235,Valparaiso,USA,2017,2,54,205.74
Nigel Williams-Goss,6-2,190,Gonzaga,USA,2017,2,55,187.96
Jabari Bird,6-6,198,California,USA,2017,2,56,198.12
Jaron Blossomgame,6-8,220,Clemson,USA,2017,2,59,203.2
Jonathan Isaac,6-10,210,Florida State,USA,2017,1,6,208.28
Lauri Markkanen,7-0,230,Arizona,Finland,2017,1,7,213.36
Frank Ntilikina,6-5,190,None,France,2017,1,8,195.58
Dennis Smith Jr.,6-3,195,North Carolina State,USA,2017,1,9,190.5
Deandre Ayton,6-11,250,Arizona,Bahamas,2018,1,1,210.82
Mikal Bridges,6-6,209,Villanova,USA,2018,1,10,198.12
Shai Gilgeous-Alexander,6-5,180,Kentucky,Canada,2018,1,11,195.58
Miles Bridges,6-6,225,Michigan State,USA,2018,1,12,198.12
Jerome Robinson,6-4,190,Boston College,USA,2018,1,13,193.04
Michael Porter Jr.,6-10,218,Missouri,USA,2018,1,14,208.28
Troy Brown Jr.,6-6,215,Oregon,USA,2018,1,15,198.12
Zhaire Smith,6-3,205,Texas Tech,USA,2018,1,16,190.5
Donte DiVincenzo,6-4,203,Villanova,USA,2018,1,17,193.04
Lonnie Walker IV,6-5,204,Miami,USA,2018,1,18,195.58
Kevin Huerter,6-7,190,Maryland,USA,2018,1,19,200.66
Marvin Bagley III,6-11,235,Duke,USA,2018,1,2,210.82
Josh Okogie,6-4,213,Georgia Institute of Technology,Nigeria,2018,1,20,193.04
Grayson Allen,6-4,198,Duke,USA,2018,1,21,193.04
Chandler Hutchison,6-7,210,Boise State,USA,2018,1,22,200.66
Aaron Holiday,6-0,185,UCLA,USA,2018,1,23,182.88
Anfernee Simons,6-3,181,None,USA,2018,1,24,190.5
Moritz Wagner,6-11,245,Michigan,Germany,2018,1,25,210.82
Landry Shamet,6-4,190,Wichita State,USA,2018,1,26,193.04
Robert Williams III,6-8,237,Texas A&M,USA,2018,1,27,203.2
Jacob Evans,6-4,210,Cincinnati,USA,2018,1,28,193.04
Dzanan Musa,6-9,217,None,Bosnia and He...,2018,1,29,205.74
Luka Doncic,6-7,230,None,Slovenia,2018,1,3,200.66
Omari Spellman,6-8,245,Villanova,USA,2018,1,30,203.2
Elie Okobo,6-3,190,None,France,2018,2,31,190.5
Jevon Carter,6-1,200,West Virginia,USA,2018,2,32,185.42000000000002
Jalen Brunson,6-1,190,Villanova,USA,2018,2,33,185.42000000000002
Devonte' Graham,6-1,195,Kansas,USA,2018,2,34,185.42000000000002
Melvin Frazier Jr.,6-5,215,Tulane,USA,2018,2,35,195.58
Mitchell Robinson,7-0,240,None,USA,2018,2,36,213.36
Khyri Thomas,6-3,210,Creighton,USA,2018,2,38,190.5
Isaac Bonga,6-8,180,None,Germany,2018,2,39,203.2
Jaren Jackson Jr.,6-11,242,Michigan State,USA,2018,1,4,210.82
Rodions Kurucs,6-9,228,None,Latvia,2018,2,40,205.74
Jarred Vanderbilt,6-9,214,Kentucky,USA,2018,2,41,205.74
Bruce Brown,6-4,202,Miami,USA,2018,2,42,193.04
Hamidou Diallo,6-5,202,Kentucky,USA,2018,2,45,195.58
De'Anthony Melton,6-2,200,USC,USA,2018,2,46,187.96
Svi Mykhailiuk,6-7,205,Kansas,Ukraine,2018,2,47,200.66
Keita Bates-Diop,6-8,229,Ohio State,USA,2018,2,48,203.2
Chimezie Metu,6-9,225,USC,USA,2018,2,49,205.74
Trae Young,6-1,180,Oklahoma,USA,2018,1,5,185.42000000000002
Alize Johnson,6-7,212,Missouri State,USA,2018,2,50,200.66
Vincent Edwards,6-8,225,Purdue,USA,2018,2,52,203.2
Devon Hall,6-2,215,Virginia,USA,2018,2,53,187.96
Shake Milton,6-5,205,Southern Methodist,USA,2018,2,54,195.58
Ray Spalding,6-10,215,Louisville,USA,2018,2,56,208.28
Kevin Hervey,6-9,230,Texas-Arlington,USA,2018,2,57,205.74
Thomas Welsh,7-0,255,UCLA,USA,2018,2,58,213.36
George King,6-6,220,University of Colorado Boulder,USA,2018,2,59,198.12
Mo Bamba,7-0,231,University of Texas at Austin,USA,2018,1,6,213.36
Kostas Antetokounmpo,6-10,200,University of Dayton,Greece,2018,2,60,208.28
Wendell Carter Jr.,6-9,270,Duke,USA,2018,1,7,205.74
Collin Sexton,6-1,190,Alabama,USA,2018,1,8,185.42000000000002
Kevin Knox II,6-7,215,Kentucky,USA,2018,1,9,200.66
Zion Williamson,6-6,284,Duke,USA,2019,1,1,198.12
Cam Reddish,6-8,218,Duke,USA,2019,1,10,203.2
Cameron Johnson,6-8,210,North Carolina,USA,2019,1,11,203.2
P.J. Washington,6-7,230,Kentucky,USA,2019,1,12,200.66
Tyler Herro,6-5,195,Kentucky,USA,2019,1,13,195.58
Romeo Langford,6-4,216,Indiana,USA,2019,1,14,193.04
Sekou Doumbouya,6-8,230,None,Guinea,2019,1,15,203.2
Nickeil Alexander-Walker,6-5,205,Virginia Tech,Canada,2019,1,17,195.58
Goga Bitadze,6-11,250,None,Georgia,2019,1,18,210.82
Luka Samanic,6-10,227,None,Croatia,2019,1,19,208.28
Ja Morant,6-3,174,Murray State,USA,2019,1,2,190.5
Matisse Thybulle,6-5,201,Washington,USA,2019,1,20,195.58
Brandon Clarke,6-8,215,Gonzaga,Canada,2019,1,21,203.2
Grant Williams,6-6,236,Tennessee,USA,2019,1,22,198.12
Darius Bazley,6-8,208,None,USA,2019,1,23,203.2
Ty Jerome,6-5,195,Virginia,USA,2019,1,24,195.58
Nassir Little,6-5,220,North Carolina,USA,2019,1,25,195.58
Mfiondu Kabengele,6-9,250,Florida State,Canada,2019,1,27,205.74
Jordan Poole,6-4,194,Michigan,USA,2019,1,28,193.04
Keldon Johnson,6-5,220,Kentucky,USA,2019,1,29,195.58
RJ Barrett,6-6,214,Duke,Canada,2019,1,3,198.12
Kevin Porter Jr.,6-4,203,USC,USA,2019,1,30,193.04
Nicolas Claxton,6-11,215,Georgia,USA,2019,2,31,210.82
KZ Okpala,6-8,215,Stanford,USA,2019,2,32,203.2
Carsen Edwards,5-11,200,Purdue,USA,2019,2,33,180.34
Bruno Fernando,6-9,240,Maryland,Angola,2019,2,34,205.74
Cody Martin,6-5,205,Nevada-Reno,USA,2019,2,36,195.58
Daniel Gafford,6-10,234,Arkansas,USA,2019,2,38,208.28
Alen Smailagic,6-10,215,None,Serbia,2019,2,39,208.28
De'Andre Hunter,6-7,225,Virginia,USA,2019,1,4,200.66
Justin James,6-7,190,Wyoming,USA,2019,2,40,200.66
Eric Paschall,6-6,255,Villanova,USA,2019,2,41,198.12
Admiral Schofield,6-5,241,Tennessee,United Kingdo...,2019,2,42,195.58
Jaylen Nowell,6-4,201,Washington,USA,2019,2,43,193.04
Isaiah Roby,6-8,230,University of Nebraska-Lincoln,USA,2019,2,45,203.2
Talen Horton-Tucker,6-4,234,Iowa State,USA,2019,2,46,193.04
Ignas Brazdeikis,6-6,221,Michigan,Lithuania,2019,2,47,198.12
Terance Mann,6-5,215,Florida State,USA,2019,2,48,195.58
Quinndary Weatherspoon,6-3,205,Mississippi State,USA,2019,2,49,190.5
Darius Garland,6-1,192,Vanderbilt,USA,2019,1,5,185.42000000000002
Jarrell Brantley,6-5,250,College of Charleston,USA,2019,2,50,195.58
Tremont Waters,5-10,175,Louisiana State,USA,2019,2,51,177.8
Jalen McDaniels,6-10,205,San Diego State,USA,2019,2,52,208.28
Justin Wright-Foreman,6-0,190,Hofstra,USA,2019,2,53,182.88
Marial Shayok,6-5,198,Iowa State,Canada,2019,2,54,195.58
Kyle Guy,6-1,167,Virginia,USA,2019,2,55,185.42000000000002
Jordan Bone,6-3,180,Tennessee,USA,2019,2,57,190.5
Miye Oni,6-5,206,Yale,USA,2019,2,58,195.58
Dewan Hernandez,6-10,235,Miami,USA,2019,2,59,208.28
Jarrett Culver,6-6,195,Texas Tech,USA,2019,1,6,198.12
Coby White,6-4,195,North Carolina,USA,2019,1,7,193.04
Jaxson Hayes,6-11,220,Texas,USA,2019,1,8,210.82
Rui Hachimura,6-8,230,Gonzaga,Japan,2019,1,9,203.2
Alex Kirk,7-0,245,New Mexico,USA,Undrafted,Undrafted,Undrafted,213.36
Andre Dawkins,6-5,219,Duke,USA,Undrafted,Undrafted,Undrafted,195.58
David Wear,6-10,230,UCLA,USA,Undrafted,Undrafted,Undrafted,208.28
Drew Gordon,6-9,245,New Mexico,USA,Undrafted,Undrafted,Undrafted,205.74
Jabari Brown,6-5,214,Missouri,USA,Undrafted,Undrafted,Undrafted,195.58
Jerel McNeal,6-3,200,Marquette,USA,Undrafted,Undrafted,Undrafted,190.5
Sim Bhullar,7-5,360,New Mexico State,Canada,Undrafted,Undrafted,Undrafted,226.06
Zoran Dragic,6-5,200,None,Slovenia,Undrafted,Undrafted,Undrafted,195.58
Allan Ray,6-2,190,Villanova,USA,Undrafted,Undrafted,Undrafted,187.96
Cedric Bozeman,6-6,207,UCLA,USA,Undrafted,Undrafted,Undrafted,198.12
Chris McCray,6-5,192,Maryland,USA,Undrafted,Undrafted,Undrafted,195.58
Ivan McFarlin,6-7,229,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,200.66
Kevinn Pinkney,6-10,245,Nevada,USA,Undrafted,Undrafted,Undrafted,208.28
Lynn Greer,6-2,175,Temple,USA,Undrafted,Undrafted,Undrafted,187.96
Mike Hall,6-8,230,George Washington,USA,Undrafted,Undrafted,Undrafted,203.2
Renaldo Major,6-7,190,Fresno State,USA,Undrafted,Undrafted,Undrafted,200.66
Robert Hite,6-2,184,Miami (FL),USA,Undrafted,Undrafted,Undrafted,187.96
Roger Powell,6-6,220,Illinois,USA,Undrafted,Undrafted,Undrafted,198.12
Steven Smith,6-9,250,La Salle,USA,Undrafted,Undrafted,Undrafted,205.74
Garret Siler,6-11,305,Augusta State,USA,Undrafted,Undrafted,Undrafted,210.82
Marcus Cousin,6-11,245,Houston,USA,Undrafted,Undrafted,Undrafted,210.82
Pooh Jeter,5-11,175,Portland,USA,Undrafted,Undrafted,Undrafted,180.34
Sherron Collins,5-11,205,Kansas,USA,Undrafted,Undrafted,Undrafted,180.34
Zabian Dowdell,6-3,191,Virginia Tech,USA,Undrafted,Undrafted,Undrafted,190.5
Adonis Thomas,6-7,240,Memphis,USA,Undrafted,Undrafted,Undrafted,200.66
Brandon Davies,6-10,240,Brigham Young,USA,Undrafted,Undrafted,Undrafted,208.28
Casper Ware,5-10,175,Long Beach State,USA,Undrafted,Undrafted,Undrafted,177.8
Chris Babb,6-5,225,Iowa State,,Undrafted,Undrafted,Undrafted,195.58
Chris Smith,6-2,200,Louisville,USA,Undrafted,Undrafted,Undrafted,187.96
Dionte Christmas,6-5,205,Temple,USA,Undrafted,Undrafted,Undrafted,195.58
Elias Harris,6-8,239,Gonzaga,Germany,Undrafted,Undrafted,Undrafted,203.2
Gal Mekel,6-3,191,Wichita State,Israel,Undrafted,Undrafted,Undrafted,190.5
Gigi Datome,6-8,215,None,Italy,Undrafted,Undrafted,Undrafted,203.2
James Southerland,6-8,215,Syracuse,USA,Undrafted,Undrafted,Undrafted,203.2
Miroslav Raduljica,7-0,250,None,Serbia,Undrafted,Undrafted,Undrafted,213.36
Mustafa Shakur,6-3,190,Arizona,USA,Undrafted,Undrafted,Undrafted,190.5
Pero Antic,6-11,260,None,Macedonia,Undrafted,Undrafted,Undrafted,210.82
Shane Edwards,6-7,220,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted,200.66
Tony Mitchell,6-6,216,Alabama,USA,Undrafted,Undrafted,Undrafted,198.12
Toure' Murry,6-5,195,Wichita State,USA,Undrafted,Undrafted,Undrafted,195.58
Vitor Faverani,6-11,260,None,Brazil,Undrafted,Undrafted,Undrafted,210.82
Brandin Knight,6-0,180,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,182.88
Erik Daniels,6-8,214,Kentucky,USA,Undrafted,Undrafted,Undrafted,203.2
Geno Carlisle,6-3,200,California,USA,Undrafted,Undrafted,Undrafted,190.5
Horace Jenkins,6-1,180,William Paterson,USA,Undrafted,Undrafted,Undrafted,185.42000000000002
Ibrahim Kutluay,6-6,200,None,USA,Undrafted,Undrafted,Undrafted,198.12
Jared Reiner,6-11,255,Iowa,USA,Undrafted,Undrafted,Undrafted,210.82
Maurice Baker,6-2,200,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,187.96
Tony Bobbitt,6-4,190,Cincinnati,USA,Undrafted,Undrafted,Undrafted,193.04
Yuta Tabuse,5-9,165,Brigham Young-Hawaii,USA,Undrafted,Undrafted,Undrafted,175.26
Andy Panko,6-9,245.0,Lebanon Valley,USA,Undrafted,Undrafted,Undrafted,205.74
Chris Garner,5-10,156.0,Memphis,USA,Undrafted,Undrafted,Undrafted,177.8
David Benoit,6-8,220.0,Alabama,USA,Undrafted,Undrafted,Undrafted,203.2
David Vanterpool,6-5,200.0,St. Bonaventure,USA,Undrafted,Undrafted,Undrafted,195.58
Garth Joseph,7-2,306.0,Saint Rose,USA,Undrafted,Undrafted,Undrafted,218.44
Jamel Thomas,6-6,219.0,Providence,USA,Undrafted,Undrafted,Undrafted,198.12
Kornel David,6-9,230.0,None,USA,Undrafted,Undrafted,Undrafted,205.74
Paul McPherson,6-4,210.0,DePaul,USA,Undrafted,Undrafted,Undrafted,193.04
Sean Colson,6-0,175.0,North Carolina-Charlotte,USA,Undrafted,Undrafted,Undrafted,182.88
Terry Davis,6-10,270.0,Virginia Union,USA,Undrafted,Undrafted,Undrafted,208.28
Alex Garcia,6-3,195,None,USA,Undrafted,Undrafted,Undrafted,190.5
Ben Handlogten,6-10,240,Western Michigan,USA,Undrafted,Undrafted,Undrafted,208.28
Britton Johnsen,6-10,210,Utah,USA,Undrafted,Undrafted,Undrafted,208.28
Desmond Ferguson,6-7,210,Detroit Mercy,USA,Undrafted,Undrafted,Undrafted,200.66
Desmond Penigar,6-7,245,Utah State,USA,Undrafted,Undrafted,Undrafted,200.66
Hiram Fuller,6-9,240,Fresno State,USA,Undrafted,Undrafted,Undrafted,205.74
Kirk Penney,6-5,220,Wisconsin,USA,Undrafted,Undrafted,Undrafted,195.58
Maurice Carter,6-5,210,Louisiana State,USA,Undrafted,Undrafted,Undrafted,195.58
Shane Heal,6-0,180,None,USA,Undrafted,Undrafted,Undrafted,182.88
Theron Smith,6-8,225,Ball State,USA,Undrafted,Undrafted,Undrafted,203.2
DeMarcus Nelson,6-4,200,Duke,USA,Undrafted,Undrafted,Undrafted,193.04
Desmon Farmer,6-5,220,Southern California,,Undrafted,Undrafted,Undrafted,195.58
Dontell Jefferson,6-5,195,Arkansas,USA,Undrafted,Undrafted,Undrafted,195.58
Rob Kurz,6-9,232,Notre Dame,USA,Undrafted,Undrafted,Undrafted,205.74
Steven Hill,7-0,245,Arkansas,USA,Undrafted,Undrafted,Undrafted,213.36
Angel Delgado,6-10,245,None,Dominican Rep...,Undrafted,Undrafted,Undrafted,208.28
Billy Garrett,6-6,215,DePaul,USA,Undrafted,Undrafted,Undrafted,198.12
Bonzie Colson,6-6,225,Notre Dame,USA,Undrafted,Undrafted,Undrafted,198.12
Brandon Sampson,6-5,184,None,USA,Undrafted,Undrafted,Undrafted,195.58
Cameron Reynolds,6-8,225,None,USA,Undrafted,Undrafted,Undrafted,203.2
DJ Stephens,6-5,188,Memphis,USA,Undrafted,Undrafted,Undrafted,195.58
Dairis Bertans,6-4,200,None,Latvia,Undrafted,Undrafted,Undrafted,193.04
DeVaughn Akoon-Purcell,6-6,200,Illinois State,Trinidad and ...,Undrafted,Undrafted,Undrafted,198.12
Deng Adel,6-7,200,None,South Sudan,Undrafted,Undrafted,Undrafted,200.66
Donte Grantham,6-8,215,Clemson,USA,Undrafted,Undrafted,Undrafted,203.2
Emanuel Terry,6-9,220,None,USA,Undrafted,Undrafted,Undrafted,205.74
Haywood Highsmith,6-7,220,None,USA,Undrafted,Undrafted,Undrafted,200.66
Isaac Humphries,7-0,260,Kentucky,Australia,Undrafted,Undrafted,Undrafted,213.36
Isaiah Briscoe,6-3,215,None,USA,Undrafted,Undrafted,Undrafted,190.5
James Nunnally,6-7,208,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,200.66
Jared Terrell,6-3,227,Rhode Island,USA,Undrafted,Undrafted,Undrafted,190.5
Jaylen Adams,6-2,190,St. Bonaventure,USA,Undrafted,Undrafted,Undrafted,187.96
Jemerrio Jones,6-5,174,None,USA,Undrafted,Undrafted,Undrafted,195.58
Jordan Loyd,6-4,210,None,USA,Undrafted,Undrafted,Undrafted,193.04
Jordan Sibert,6-4,187,University of Dayton,USA,Undrafted,Undrafted,Undrafted,193.04
Julian Washburn,6-8,209,Texas-El Paso,USA,Undrafted,Undrafted,Undrafted,203.2
Kalin Lucas,6-1,195,Michigan State,USA,Undrafted,Undrafted,Undrafted,185.42000000000002
Marcus Derrickson,6-7,249,None,USA,Undrafted,Undrafted,Undrafted,200.66
Mitchell Creek,6-6,225,None,Australia,Undrafted,Undrafted,Undrafted,198.12
Rawle Alkins,6-5,225,None,USA,Undrafted,Undrafted,Undrafted,195.58
Tahjere McCall,6-5,190,Tennessee State,USA,Undrafted,Undrafted,Undrafted,195.58
Trevon Duval,6-2,189,None,USA,Undrafted,Undrafted,Undrafted,187.96
Troy Caupain,6-4,210,Cincinnati,USA,Undrafted,Undrafted,Undrafted,193.04
Tyler Davis,6-10,266,None,USA,Undrafted,Undrafted,Undrafted,208.28
Yante Maten,6-8,240,None,USA,Undrafted,Undrafted,Undrafted,203.2
Zach Lofton,6-4,180,New Mexico State,USA,Undrafted,Undrafted,Undrafted,193.04
Aaron Miles,6-1,190,Kansas,USA,Undrafted,Undrafted,Undrafted,185.42000000000002
Alex Scales,6-4,195,Oregon,USA,Undrafted,Undrafted,Undrafted,193.04
Anthony Grundy,6-3,185,North Carolina State,USA,Undrafted,Undrafted,Undrafted,190.5
Anthony Roberson,6-2,180,Florida,USA,Undrafted,Undrafted,Undrafted,187.96
Arvydas Macijauskas,6-4,214,None,Lithuania,Undrafted,Undrafted,Undrafted,193.04
Boniface Ndong,7-0,205,None,Senegal,Undrafted,Undrafted,Undrafted,213.36
Deng Gai,6-9,250,Fairfield,Sudan (UK),Undrafted,Undrafted,Undrafted,205.74
Devin Green,6-7,212,Hampton,USA,Undrafted,Undrafted,Undrafted,200.66
Donell Taylor,6-5,183,None,USA,Undrafted,Undrafted,Undrafted,195.58
Eddie Basden,6-5,215,North Carolina-Charlotte,USA,Undrafted,Undrafted,Undrafted,195.58
Esteban Batista,6-10,270,None,Uruguay,Undrafted,Undrafted,Undrafted,208.28
Gerald Fitch,6-3,188,Kentucky,USA,Undrafted,Undrafted,Undrafted,190.5
Jackie Butler,6-10,260,Southern Illinois,USA,Undrafted,Undrafted,Undrafted,208.28
James Thomas,6-9,245,Texas,USA,Undrafted,Undrafted,Undrafted,205.74
John Edwards,7-0,275,Kent State,USA,Undrafted,Undrafted,Undrafted,213.36
Keith McLeod,6-2,190,Bowling Green,USA,Undrafted,Undrafted,Undrafted,187.96
Kevin Burleson,6-3,205,Minnesota,USA,Undrafted,Undrafted,Undrafted,190.5
Luke Schenscher,7-1,265,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,215.9
Matt Walsh,6-6,220,Florida,USA,Undrafted,Undrafted,Undrafted,198.12
Melvin Sanders,6-5,210,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,195.58
Noel Felix,6-9,225,Fresno State,USA,Undrafted,Undrafted,Undrafted,205.74
Rawle Marshall,6-7,190,Oakland,USA,Undrafted,Undrafted,Undrafted,200.66
Sarunas Jasikevicius,6-4,197,Maryland,USSR,Undrafted,Undrafted,Undrafted,193.04
Sharrod Ford,6-9,235,Clemson,USA,Undrafted,Undrafted,Undrafted,205.74
Arinze Onuaku,6-9,255,Syracuse,USA,Undrafted,Undrafted,Undrafted,205.74
Daniel Ochefu,6-11,245,Villanova,USA,Undrafted,Undrafted,Undrafted,210.82
Kyle Wiltjer,6-10,240,Gonzaga,Canada,Undrafted,Undrafted,Undrafted,208.28
Maurice Ndour,6-9,200,Ohio U.,Senegal,Undrafted,Undrafted,Undrafted,205.74
Mike Tobey,7-0,260,Virginia,USA,Undrafted,Undrafted,Undrafted,213.36
Nicolas Laprovittola,6-4,180,None,Argentina,Undrafted,Undrafted,Undrafted,193.04
Patricio Garino,6-6,203,George Washington,Argentina,Undrafted,Undrafted,Undrafted,198.12
Shawn Long,6-9,255,Louisana-Lafayette,USA,Undrafted,Undrafted,Undrafted,205.74
Sheldon Mac,6-6,200,Miami,USA,Undrafted,Undrafted,Undrafted,198.12
Adam Mokoka,6-5,190,None,France,Undrafted,Undrafted,Undrafted,195.58
Allonzo Trier,6-4,200,Arizona,USA,Undrafted,Undrafted,Undrafted,193.04
Amile Jefferson,6-9,222,Duke,USA,Undrafted,Undrafted,Undrafted,205.74
Amir Coffey,6-7,210,None,USA,Undrafted,Undrafted,Undrafted,200.66
BJ Johnson,6-7,200,None,USA,Undrafted,Undrafted,Undrafted,200.66
Brad Wanamaker,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,190.5
Brandon Goodwin,6-0,180,None,USA,Undrafted,Undrafted,Undrafted,182.88
Brian Bowen II,6-6,190,None,USA,Undrafted,Undrafted,Undrafted,198.12
Caleb Martin,6-5,205,None,USA,Undrafted,Undrafted,Undrafted,195.58
Charles Brown Jr.,6-6,199,None,USA,Undrafted,Undrafted,Undrafted,198.12
Chasson Randle,6-2,185,Stanford,USA,Undrafted,Undrafted,Undrafted,187.96
Chris Chiozza,5-11,175,None,USA,Undrafted,Undrafted,Undrafted,180.34
Chris Clemons,5-9,180,None,USA,Undrafted,Undrafted,Undrafted,175.26
Chris Silva,6-8,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,203.2
DaQuan Jeffries,6-5,230,None,USA,Undrafted,Undrafted,Undrafted,195.58
Daryl Macon,6-2,185,Arkansas,USA,Undrafted,Undrafted,Undrafted,187.96
Dean Wade,6-9,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,205.74
Deonte Burton,6-4,240,Iowa State,USA,Undrafted,Undrafted,Undrafted,193.04
Donta Hall,6-9,229,None,USA,Undrafted,Undrafted,Undrafted,205.74
Drew Eubanks,6-9,245,None,USA,Undrafted,Undrafted,Undrafted,205.74
Duncan Robinson,6-7,215,Michigan,USA,Undrafted,Undrafted,Undrafted,200.66
Dusty Hannahs,6-3,210,Arkansas,USA,Undrafted,Undrafted,Undrafted,190.5
Eric Mika,6-10,233,None,USA,Undrafted,Undrafted,Undrafted,208.28
Gabe Vincent,6-3,200,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,190.5
Garrison Mathews,6-5,215,None,USA,Undrafted,Undrafted,Undrafted,195.58
Gary Clark,6-6,225,None,USA,Undrafted,Undrafted,Undrafted,198.12
Gary Trent Jr.,6-5,209,None,USA,Undrafted,Undrafted,Undrafted,195.58
J.P. Macura,6-4,203,Xavier,USA,Undrafted,Undrafted,Undrafted,193.04
Jalen Lecque,6-4,185,None,USA,Undrafted,Undrafted,Undrafted,193.04
Jared Harper,5-10,175,None,USA,Undrafted,Undrafted,Undrafted,177.8
Jarrod Uthoff,6-9,220,Iowa,USA,Undrafted,Undrafted,Undrafted,205.74
Javonte Green,6-4,205,Radford University,USA,Undrafted,Undrafted,Undrafted,193.04
Jaylen Hoard,6-8,216,None,France,Undrafted,Undrafted,Undrafted,203.2
Jeremiah Martin,6-2,185,Memphis,USA,Undrafted,Undrafted,Undrafted,187.96
Joe Chealey,6-4,190,College of Charleston,USA,Undrafted,Undrafted,Undrafted,193.04
John Konchar,6-5,210,None,USA,Undrafted,Undrafted,Undrafted,195.58
Johnathan Williams,6-9,228,Gonzaga,USA,Undrafted,Undrafted,Undrafted,205.74
Jordan McLaughlin,5-11,185,USC,USA,Undrafted,Undrafted,Undrafted,180.34
Josh Reaves,6-4,214,Penn State,USA,Undrafted,Undrafted,Undrafted,193.04
Juan Toscano-Anderson,6-6,209,None,USA,Undrafted,Undrafted,Undrafted,198.12
Justin Robinson,6-1,195,None,USA,Undrafted,Undrafted,Undrafted,185.42000000000002
Juwan Morgan,6-7,232,Indiana,USA,Undrafted,Undrafted,Undrafted,200.66
Kelan Martin,6-5,230,None,USA,Undrafted,Undrafted,Undrafted,195.58
Kendrick Nunn,6-2,190,Oakland,USA,Undrafted,Undrafted,Undrafted,187.96
Kenrich Williams,6-6,210,None,USA,Undrafted,Undrafted,Undrafted,198.12
Ky Bowman,6-1,187,None,USA,Undrafted,Undrafted,Undrafted,185.42000000000002
Louis King,6-7,205,None,USA,Undrafted,Undrafted,Undrafted,200.66
Luguentz Dort,6-3,215,None,Canada,Undrafted,Undrafted,Undrafted,190.5
Malik Newman,6-3,190,Kansas,USA,Undrafted,Undrafted,Undrafted,190.5
Marko Guduric,6-6,201,None,Serbia,Undrafted,Undrafted,Undrafted,198.12
Marques Bolden,6-10,249,None,USA,Undrafted,Undrafted,Undrafted,208.28
Matt Mooney,6-2,199,Texas Tech,USA,Undrafted,Undrafted,Undrafted,187.96
Matt Thomas,6-4,190,Iowa State,USA,Undrafted,Undrafted,Undrafted,193.04
Max Strus,6-5,215,None,USA,Undrafted,Undrafted,Undrafted,195.58
Michael Frazier,6-3,200,Florida,USA,Undrafted,Undrafted,Undrafted,190.5
Moses Brown,7-2,245,None,USA,Undrafted,Undrafted,Undrafted,218.44
Mychal Mulder,6-3,184,Kentucky,Canada,Undrafted,Undrafted,Undrafted,190.5
