Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Chauncey Billups,6-3,210,Colorado,USA,1997,1,3,190.5
Marc Jackson,6-10,270.0,Temple,USA,1997,2,37,208.28
Anthony Johnson,6-3,190.0,College of Charleston,USA,1997,2,39,190.5
Antonio Daniels,6-4,205.0,Bowling Green,USA,1997,1,4,193.04
Stephen Jackson,6-8,220,Butler Community College,USA,1997,2,42,203.2
Cedric Henderson,6-7,225.0,Memphis,USA,1997,2,44,200.66
Alvin Williams,6-5,185.0,Villanova,USA,1997,2,47,195.58
Predrag Drobnjak,6-11,272.0,None,Yugoslavia,1997,2,48,210.82
Tony Battie,6-11,240,Texas Tech,USA,1997,1,5,210.82
Chris Crawford,6-9,235.0,Marquette,USA,1997,2,50,205.74
Mark Blount,7-0,250.0,Pittsburgh,USA,1997,2,54,213.36
Ron Mercer,6-7,210.0,Kentucky,USA,1997,1,6,200.66
Tim Thomas,6-10,240.0,Villanova,USA,1997,1,7,208.28
Adonal Foyle,6-10,265.0,Colgate,St. Vincent &...,1997,1,8,208.28
Tracy McGrady,6-8,225,None,USA,1997,1,9,203.2
Michael Olowokandi,7-0,270.0,Pacific,Nigeria,1998,1,1,213.36
Paul Pierce,6-7,235,Kansas,USA,1998,1,10,200.66
Bonzi Wells,6-5,213.0,Ball State,USA,1998,1,11,195.58
Michael Doleac,6-11,262.0,Utah,USA,1998,1,12,210.82
Keon Clark,6-11,221.0,Nevada-Las Vegas,USA,1998,1,13,210.82
Michael Dickerson,6-5,190.0,Arizona,USA,1998,1,14,195.58
Matt Harpring,6-7,231.0,Georgia Tech,USA,1998,1,15,200.66
Bryce Drew,6-3,184.0,Valparaiso,USA,1998,1,16,190.5
Rasho Nesterovic,7-0,248.0,None,Slovenia,1998,1,17,213.36
Pat Garrity,6-9,238.0,Notre Dame,USA,1998,1,19,205.74
Mike Bibby,6-2,195,Arizona,USA,1998,1,2,187.96
Ricky Davis,6-7,197.0,Iowa,USA,1998,1,21,200.66
Brian Skinner,6-9,255,Baylor,USA,1998,1,22,205.74
Tyronn Lue,6-0,178.0,Nebraska,USA,1998,1,23,182.88
Felipe Lopez,6-5,195.0,St. John's (NY),Dominican Rep...,1998,1,24,195.58
Al Harrington,6-9,250,None,USA,1998,1,25,205.74
Vladimir Stepania,7-0,236.0,None,Georgia,1998,1,27,213.36
Corey Benjamin,6-6,200.0,Oregon State,USA,1998,1,28,198.12
Nazr Mohammed,6-10,250,Kentucky,USA,1998,1,29,208.28
Raef LaFrentz,6-11,245.0,Kansas,USA,1998,1,3,210.82
Ansu Sesay,6-9,225.0,Mississippi,USA,1998,2,30,205.74
Ruben Patterson,6-5,224.0,Cincinnati,USA,1998,2,31,195.58
Rashard Lewis,6-10,230,None,USA,1998,2,32,208.28
Jelani McCoy,6-10,245.0,California-Los Angeles,USA,1998,2,33,208.28
Shammond Williams,6-1,201.0,North Carolina,USA,1998,2,34,185.42000000000002
Bruno Sundov,7-2,246.0,None,Croatia,1998,2,35,218.44
Jerome James,7-1,272.0,Florida A&M,USA,1998,2,36,215.9
Rafer Alston,6-2,171.0,Fresno State,USA,1998,2,39,187.96
Antawn Jamison,6-9,235,North Carolina,USA,1998,1,4,205.74
Cuttino Mobley,6-4,210.0,Rhode Island,USA,1998,2,41,193.04
Jahidi White,6-9,290.0,Georgetown,USA,1998,2,43,205.74
Sean Marks,6-10,250.0,California,New Zealand,1998,2,44,208.28
Vince Carter,6-6,220,North Carolina,USA,1998,1,5,198.12
Derrick Dial,6-4,184.0,Eastern Michigan,USA,1998,2,52,193.04
Greg Buckner,6-4,210.0,Clemson,USA,1998,2,53,193.04
Tremaine Fowlkes,6-8,220.0,Fresno State,USA,1998,2,54,203.2
Ryan Bowen,6-9,227.0,Iowa,USA,1998,2,55,205.74
Torraye Braggs,6-8,245,Xavier,USA,1998,2,57,203.2
Maceo Baston,6-10,230,Michigan,USA,1998,2,58,208.28
Robert Traylor,6-8,284.0,Michigan,USA,1998,1,6,203.2
Jason Williams,6-1,190.0,Florida,USA,1998,1,7,185.42000000000002
Larry Hughes,6-5,185,Saint Louis,USA,1998,1,8,195.58
Dirk Nowitzki,7-0,245,None,Germany,1998,1,9,213.36
Elton Brand,6-9,254,Duke,USA,1999,1,1,205.74
Jason Terry,6-2,180,Arizona,USA,1999,1,10,187.96
Trajan Langdon,6-3,197.0,Duke,USA,1999,1,11,190.5
Aleksandar Radojevic,7-3,250,Barton County C.C.,USA,1999,1,12,220.98
Corey Maggette,6-6,225,Duke,USA,1999,1,13,198.12
Metta World Peace,6-7,260,St. John's (NY),USA,1999,1,16,200.66
Cal Bowdler,6-10,253.0,Old Dominion,USA,1999,1,17,208.28
James Posey,6-8,215.0,Xavier,USA,1999,1,18,203.2
Quincy Lewis,6-7,215.0,Minnesota,USA,1999,1,19,200.66
Steve Francis,6-3,195.0,Maryland,USA,1999,1,2,190.5
Dion Glover,6-5,228.0,Georgia Tech,USA,1999,1,20,195.58
Jeff Foster,6-11,250,S.W. Texas State,USA,1999,1,21,210.82
Kenny Thomas,6-7,245.0,New Mexico,USA,1999,1,22,200.66
Devean George,6-8,220.0,Augsburg,USA,1999,1,23,203.2
Andrei Kirilenko,6-9,210.0,None,Russia,1999,1,24,205.74
Vonteego Cummings,6-3,190.0,Pittsburgh,USA,1999,1,26,190.5
Jumaine Jones,6-8,218.0,Georgia,USA,1999,1,27,203.2
Scott Padgett,6-9,240.0,Kentucky,USA,1999,1,28,205.74
Leon Smith,6-10,235.0,None,USA,1999,1,29,208.28
Baron Davis,6-3,212,California-Los Angeles,USA,1999,1,3,190.5
Michael Ruffin,6-8,248.0,Tulsa,USA,1999,2,32,203.2
Chris Herren,6-2,190.0,Fresno State,USA,1999,2,33,187.96
Evan Eschmeyer,6-11,255.0,Northwestern,USA,1999,2,34,210.82
Calvin Booth,6-11,231.0,Penn State,USA,1999,2,35,210.82
Wang Zhi-zhi,7-1,220.0,None,China,1999,2,36,215.9
Obinna Ekezie,6-9,270.0,Maryland,Nigeria,1999,2,37,205.74
Laron Profit,6-5,204,Maryland,USA,1999,2,38,195.58
Lamar Odom,6-10,230,Rhode Island,USA,1999,1,4,208.28
Gordan Giricek,6-6,220,None,Croatia,1999,2,40,198.12
Francisco Elson,7-0,240,California,Netherlands,1999,2,41,213.36
Lee Nailon,6-9,238.0,Texas Christian,USA,1999,2,43,205.74
Todd MacCulloch,7-0,280.0,Washington,Canada,1999,2,47,213.36
Jonathan Bender,7-0,219.0,None,USA,1999,1,5,213.36
Rodney Buford,6-5,189.0,Creighton,USA,1999,2,53,195.58
