,Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
641,Paul Davis,6-11,270,Michigan State,USA,2006,2,34,210.82,,,,,
642,P.J. Tucker,6-6,245,Texas,USA,2006,2,35,198.12,,,,,
643,Craig Smith,6-7,265,Boston College,USA,2006,2,36,200.66,12.20%,-,-,8' 7.5'',6' 9.5''
644,Bobby Jones,6-7,215,Washington,USA,2006,2,37,200.66,8.00%,-,-,8' 5.5'',6' 9.5''
645,Kosta Perovic,7-2,240,None,USA,2006,2,38,218.44,,,,,
646,David Noel,6-6,230,North Carolina,USA,2006,2,39,198.12,6.10%,-,-,8' 4'',6' 9.5''
647,Tyrus Thomas,6-8,215,Louisiana State,,2006,1,4,203.2,5.60%,-,-,9' 0'',7' 3''
648,James Augustine,6-10,235,Illinois,USA,2006,2,41,208.28,5.50%,-,-,8' 8'',7' 0.25''
649,Daniel Gibson,6-2,200,Texas,USA,2006,2,42,187.96,,,,,
650,Marcus Vinicius,6-8,225,None,USA,2006,2,43,203.2,,,,,
651,Alexander Johnson,6-9,230,Florida State,USA,2006,2,45,205.74,,,,,
652,Dee Brown,6-0,185,Illinois,USA,2006,2,46,182.88,,,,7' 10'',6' 2''
653,Paul Millsap,6-8,253,Louisiana Tech,USA,2006,2,47,203.2,9.70%,-,-,8' 9.5'',7' 1.5''
654,Leon Powe,6-8,240,California,USA,2006,2,49,203.2,,,,,
655,Shelden Williams,6-9,250,Duke,USA,2006,1,5,205.74,11.40%,-,-,8' 8'',7' 4.25''
656,Ryan Hollins,7-0,240,California-Los Angeles,USA,2006,2,50,213.36,,,,,
657,Cheikh Samb,7-1,245,None,USA,2006,2,51,215.9,,,,,
658,Guillermo Diaz,6-2,185,Miami (FL),USA,2006,2,52,187.96,,,,,
659,Hassan Adams,6-4,220,Arizona,USA,2006,2,54,193.04,,,,,
660,Damir Markota,6-10,225,None,USA,2006,2,59,208.28,,,,,
661,Brandon Roy,6-6,229,Washington,USA,2006,1,6,198.12,7.60%,-,-,8' 5'',6' 8''
662,Will Blalock,6-0,205,Iowa State,USA,2006,2,60,182.88,7.20%,-,-,8' 0.5'',6' 6''
663,Randy Foye,6-4,213,Villanova,USA,2006,1,7,193.04,10.00%,-,-,8' 1'',6' 6.25''
664,Rudy Gay,6-8,230,Connecticut,USA,2006,1,8,203.2,5.70%,-,-,8' 11.5'',7' 3''
665,Patrick O'Bryant,7-0,250,Bradley,USA,2006,1,9,213.36,10.00%,-,-,9' 5'',7' 5.75''
666,Greg Oden,7-0,285,Ohio State,USA,2007,1,1,213.36,7.80%,-,-,9' 4'',7' 4.25''
667,Spencer Hawes,7-1,245,Washington,USA,2007,1,10,215.9,13.00%,-,-,9' 2'',7' 0.5''
668,Acie Law,6-3,195,Texas A&M,USA,2007,1,11,190.5,5.60%,-,-,8' 2'',6' 6.5''
669,Thaddeus Young,6-8,220,Georgia Tech,USA,2007,1,12,203.2,4.90%,-,-,8' 10'',6' 11.5''
670,Julian Wright,6-8,225,Kansas,USA,2007,1,13,203.2,6.10%,-,-,9' 0'',7' 2.25''
671,Al Thornton,6-8,220,Florida State,USA,2007,1,14,203.2,5.80%,-,-,8' 8'',7' 1''
672,Rodney Stuckey,6-5,205,Eastern Washington,USA,2007,1,15,195.58,6.10%,-,-,8' 4.5'',6' 7.25''
673,Nick Young,6-7,210,USC,USA,2007,1,16,200.66,6.80%,-,-,8' 4.5'',7' 0''
674,Sean Williams,6-10,235,Boston College,USA,2007,1,17,208.28,,,,,
675,Marco Belinelli,6-5,195,None,Italy,2007,1,18,195.58,,,,,
676,Javaris Crittenton,6-5,200,Georgia Tech,USA,2007,1,19,195.58,4.50%,-,-,8' 2'',6' 5.5''
677,Kevin Durant,6-9,235,Texas,USA,2007,1,2,205.74,6.60%,-,-,9' 2'',7' 4.75''
678,Jason Smith,7-0,240,Colorado State,USA,2007,1,20,213.36,7.50%,-,-,8' 10'',6' 10.75''
679,Daequan Cook,6-5,210,Ohio State,USA,2007,1,21,195.58,7.00%,-,-,8' 5.5'',6' 8.25''
680,Jared Dudley,6-7,225,Boston College,USA,2007,1,22,200.66,7.10%,-,-,8' 6'',6' 7''
681,Wilson Chandler,6-8,220,DePaul,USA,2007,1,23,203.2,,,,,
682,Rudy Fernandez,6-6,185,None,Spain,2007,1,24,198.12,,,,8' 5.5'',6' 7.5''
683,Morris Almond,6-6,225,Rice,USA,2007,1,25,198.12,6.90%,,,8' 6.5'',6' 10''
684,Aaron Brooks,6-0,161,Oregon,USA,2007,1,26,182.88,2.70%,-,-,7' 10'',6' 4''
685,Arron Afflalo,6-5,215,UCLA,USA,2007,1,27,195.58,,,,,
686,Tiago Splitter,6-11,240,None,Brazil,2007,1,28,210.82,5.30%,,,9' 1.5'',7' 2''
687,Alando Tucker,6-6,205,Wisconsin,USA,2007,1,29,198.12,,,,,
688,Al Horford,6-10,250,Florida,Dominican Rep...,2007,1,3,208.28,9.10%,-,-,8' 11'',7' 0.75''
689,Carl Landry,6-9,248,Purdue,USA,2007,2,31,205.74,7.50%,-,-,8' 6.5'',6' 11''
690,Gabe Pruitt,6-4,170,Southern California,USA,2007,2,32,193.04,,,,,
691,Marcus Williams,6-7,207,Arizona,USA,2007,2,33,200.66,,,,,
692,Nick Fazekas,6-11,235,Nevada-Reno,USA,2007,2,34,210.82,,,,,
693,Glen Davis,6-9,289,Louisiana State,USA,2007,2,35,205.74,,,,,
694,Jermareo Davidson,6-10,230,Alabama,USA,2007,2,36,208.28,6.90%,-,-,9' 1.5'',7' 4''
695,Josh McRoberts,6-10,240,Duke,USA,2007,2,37,208.28,13.70%,-,-,8' 10.5'',7' 1''
696,Kyrylo Fesenko,7-1,280,None,Ukraine,2007,2,38,215.9,,,,,
697,Mike Conley,6-1,185,Ohio State,USA,2007,1,4,185.42,4.20%,-,-,7' 10.5'',6' 5.75''
698,Sun Sun,6-9,205,None,USA,2007,2,40,205.74,,,,,
699,Chris Richard,6-9,270,Florida,USA,2007,2,41,205.74,7.50%,-,-,9' 2.5'',7' 4.5''
700,Derrick Byars,6-7,220,Vanderbilt,USA,2007,2,42,200.66,,,,,
701,Stephane Lasme,6-8,215,Massachusetts,Gabon,2007,2,46,203.2,4.90%,-,-,8' 11'',7' 2''
702,Dominic McGuire,6-9,235,Fresno State,USA,2007,2,47,205.74,4.70%,-,-,8' 8'',6' 10.5''
703,Marc Gasol,7-1,265,None,Spain,2007,2,48,215.9,,,,,
704,Aaron Gray,7-0,270,Pittsburgh,USA,2007,2,49,213.36,10.80%,-,-,9' 0.5'',7' 3.25''
705,Jeff Green,6-9,235,Georgetown,USA,2007,1,5,205.74,3.70%,-,-,8' 7'',7' 1.25''
706,JamesOn Curry,6-3,190,Oklahoma State,USA,2007,2,51,190.5,,,,,
707,Taurean Green,6-0,177,Florida,USA,2007,2,52,182.88,4.60%,-,-,8' 0'',6' 2.25''
708,Demetris Nichols,6-8,216,Syracuse,USA,2007,2,53,203.2,6.20%,-,-,8' 9'',7' 0.25''
709,Ramon Sessions,6-3,190,Nevada-Reno,USA,2007,2,56,190.5,6.20%,-,-,8' 1.5'',6' 4.25''
710,DJ Strawberry,6-5,201,Maryland,USA,2007,2,59,195.58,4.50%,-,-,8' 5'',6' 6.5''
711,Yi Jianlian,7-0,238,None,,2007,1,6,213.36,,,,,
712,Corey Brewer,6-9,188,Florida,USA,2007,1,7,205.74,4.20%,-,-,8' 7'',6' 8.25''
713,Brandan Wright,6-10,210,North Carolina,USA,2007,1,8,208.28,5.80%,-,-,9' 0.5'',7' 3.75''
714,Joakim Noah,6-11,232,Florida,USA,2007,1,9,210.82,4.80%,-,-,8' 10.5'',7' 1.25''
715,Derrick Rose,6-3,190,Memphis,USA,2008,1,1,190.5,4.60%,-,-,8' 2.5'',6' 8''
716,Brook Lopez,7-0,265,Stanford,USA,2008,1,10,213.36,6.30%,-,-,9' 5'',7' 5.5''
717,Jerryd Bayless,6-3,208,Arizona,USA,2008,1,11,190.5,4.70%,-,-,8' 1'',6' 3.5''
718,Jason Thompson,6-11,250,Rider University,USA,2008,1,12,210.82,,,,,
719,Brandon Rush,6-6,225,Kansas,USA,2008,1,13,198.12,,,,,
720,Anthony Randolph,6-11,225,Louisiana State,USA,2008,1,14,210.82,4.70%,-,-,9' 1'',7' 3''
721,Robin Lopez,7-0,255,Stanford,USA,2008,1,15,213.36,,,,,
722,Marreese Speights,6-10,255,Florida,USA,2008,1,16,208.28,,,,,
723,Roy Hibbert,7-2,260,Georgetown,USA,2008,1,17,218.44,,,,,
724,JaVale McGee,7-0,252,Nevada-Reno,USA,2008,1,18,213.36,5.30%,-,-,9' 6.5'',7' 6''
725,JJ Hickson,6-9,242,North Carolina State,USA,2008,1,19,205.74,,,,,
726,Michael Beasley,6-10,235,Kansas State,USA,2008,1,2,208.28,7.70%,-,-,8' 11'',7' 0.25''
727,Alexis Ajinca,7-0,220,None,France,2008,1,20,213.36,,,,,
728,Ryan Anderson,6-10,240,California,USA,2008,1,21,208.28,,,,,
729,Courtney Lee,6-5,200,Western Kentucky,USA,2008,1,22,195.58,,,,,
730,Kosta Koufos,7-0,265,Ohio State,USA,2008,1,23,213.36,,,,,
731,Serge Ibaka,6-10,235,None,Democratic Re...,2008,1,24,208.28,,,,,
732,Nicolas Batum,6-8,200,None,France,2008,1,25,203.2,,,,,
733,George Hill,6-2,180,None,USA,2008,1,26,187.96,3.00%,-,-,8' 1.5'',6' 9''
