,Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
441,Roger Mason Jr.,6-5,205,Virginia,USA,2002,2,30,195.58,,,,,
442,Robert Archibald,6-11,250,Illinois,Scotland,2002,2,31,210.82,-%,-,-,9' 1.5'',6' 11.75''
443,Vincent Yarbrough,6-7,210,Tennessee,USA,2002,2,32,200.66,-%,-,-,8' 8.5'',7' 0.5''
444,Dan Gadzuric,6-11,240,California-Los Angeles,Netherlands,2002,2,33,210.82,,,,,
445,Carlos Boozer,6-9,266,Duke,USA,2002,2,34,205.74,-%,-,-,9' 0.5'',7' 2.25''
446,David Andersen,6-11,245,None,USA,2002,2,36,210.82,,,,,
447,Tito Maddox,6-4,190,Fresno State,USA,2002,2,37,193.04,-%,-,-,8' 3'',6' 5''
448,Juan Carlos Navarro,6-3,170,None,,2002,2,39,190.5,,,,,
449,Drew Gooden,6-10,250,Kansas,USA,2002,1,4,208.28,-%,-,-,8' 10.5'',7' 0.5''
450,Mario Kasun,7-1,260,None,,2002,2,40,215.9,-%,-,-,9' 1'',6' 11.5''
451,Flip Murray,6-3,197,Shaw,USA,2002,2,41,190.5,,,,,
452,Lonny Baxter,6-8,260,Maryland,USA,2002,2,43,203.2,-%,-,-,8' 11.5'',7' 1.5''
453,Matt Barnes,6-7,226,UCLA,USA,2002,2,45,200.66,-%,-,-,8' 0.5'',6' 9''
454,Jamal Sampson,6-11,235,California,USA,2002,2,46,210.82,,,,,
455,Chris Owens,6-7,245,Texas,USA,2002,2,47,200.66,-%,-,-,8' 8'',6' 11.5''
456,Darius Songaila,6-9,248,Wake Forest,Lithuania,2002,2,49,205.74,-%,-,-,9' 0.5'',7' 1''
457,Nikoloz Tskitishvili,7-0,225,None,Georgia,2002,1,5,213.36,,,,,
458,Rasual Butler,6-7,215,La Salle,USA,2002,2,52,200.66,-%,-,-,8' 9.5'',7' 0''
459,Tamar Slay,6-8,215,Marshall,USA,2002,2,53,203.2,-%,-,-,8' 8'',6' 11.5''
460,Luis Scola,6-9,245,None,Argentina,2002,2,55,205.74,,,,,
461,Randy Holcomb,6-9,220,San Diego State,USA,2002,2,56,205.74,-%,-,-,8' 9'',7' 1''
462,Corsley Edwards,6-9,275,Central Connecticut State,,2002,2,57,205.74,-%,-,-,8' 10.5'',6' 10.75''
463,Dajuan Wagner,6-3,200,Memphis,USA,2002,1,6,190.5,-%,-,-,8' 3'',6' 2''
464,Nene,6-11,250,None,Brazil,2002,1,7,210.82,-%,-,-,9' 1'',7' 4.5''
465,Chris Wilcox,6-10,235,Maryland,USA,2002,1,8,208.28,-%,-,-,8' 11.5'',7' 1''
466,Amar'e Stoudemire,6-11,260,None,USA,2002,1,9,210.82,-%,-,-,9' 0.5'',7' 1.75''
467,LeBron James,6-8,250,None,USA,2003,1,1,203.2,6.70%,-,-,8' 10.25'',7' 0.25''
468,Jarvis Hayes,6-8,228,Georgia,USA,2003,1,10,203.2,,,,,
469,Mickael Pietrus,6-6,215,None,France,2003,1,11,198.12,,,,,
470,Nick Collison,6-10,255,Kansas,USA,2003,1,12,208.28,17.00%,-,-,9' 0'',7' 1.5''
471,Marcus Banks,6-2,212,Nevada-Las Vegas,USA,2003,1,13,187.96,,,,,
472,Luke Ridnour,6-2,175,Oregon,USA,2003,1,14,187.96,5.30%,-,-,7' 11.5'',6' 3''
473,Reece Gaines,6-6,205,Louisville,USA,2003,1,15,198.12,,,,,
474,Troy Bell,6-1,180,Boston College,USA,2003,1,16,185.42,5.30%,-,-,8' 1.5'',6' 5''
475,Zarko Cabarkapa,6-11,235,None,Serbia and Mo...,2003,1,17,210.82,,,,,
476,David West,6-9,240,Xavier,USA,2003,1,18,205.74,8.00%,-,-,9' 0.25'',7' 4.25''
477,Sasha Pavlovic,6-7,235,None,Montenegro,2003,1,19,200.66,,,,,
478,Darko Milicic,7-0,275,None,Serbia,2003,1,2,213.36,8.00%,-,-,9' 3.5'',7' 5''
479,Dahntay Jones,6-6,225,Duke,USA,2003,1,20,198.12,2.60%,-,-,8' 6.5'',6' 9''
480,Boris Diaw,6-8,235,None,France,2003,1,21,203.2,,,,,
481,Zoran Planinic,6-7,195,None,Croatia,2003,1,22,200.66,,,,,
482,Travis Outlaw,6-9,207,None,USA,2003,1,23,205.74,,,,,
483,Brian Cook,6-9,250,Illinois,USA,2003,1,24,205.74,10.50%,-,-,9' 1'',7' 2''
484,Carlos Delfino,6-6,230,None,Argentina,2003,1,25,198.12,,,,,
485,Ndudi Ebi,6-9,200,None,USA,2003,1,26,205.74,,,,,
486,Kendrick Perkins,6-10,270,None,USA,2003,1,27,208.28,,,,,
487,Leandro Barbosa,6-3,194,None,Brazil,2003,1,28,190.5,,,,,
488,Josh Howard,6-7,210,Wake Forest,USA,2003,1,29,200.66,6.00%,-,-,8' 9.5'',7' 2''
489,Carmelo Anthony,6-8,230,Syracuse,USA,2003,1,3,203.2,8.00%,-,-,8' 9.5'',7' 0''
490,Maciej Lampe,6-11,275,Madrid (ESP),Poland,2003,2,30,210.82,,,,,
491,Jason Kapono,6-8,215,California-Los Angeles,USA,2003,2,31,203.2,11.70%,-,-,8' 6'',6' 6.5''
492,Luke Walton,6-8,235,Arizona,USA,2003,2,32,203.2,9.30%,-,-,8' 8'',6' 8.5''
493,Jerome Beasley,6-9,237,North Dakota,USA,2003,2,33,205.74,9.90%,-,-,8' 11'',7' 0.5''
494,Travis Hansen,6-6,205,Brigham Young,USA,2003,2,37,198.12,6.00%,-,-,8' 4.5'',6' 6.5''
495,Steve Blake,6-3,172,Maryland,USA,2003,2,38,190.5,,,,,
496,Slavko Vranes,7-5,275,None,USA,2003,2,39,226.06,,,,,
497,Chris Bosh,6-11,235,Georgia Tech,USA,2003,1,4,210.82,8.00%,-,-,9' 1'',7' 3.5''
498,Derrick Zimmerman,6-3,195,Mississippi State,USA,2003,2,40,190.5,5.30%,-,-,8' .25'',6' 9''
499,Willie Green,6-3,201,Detroit Mercy,USA,2003,2,41,190.5,8.00%,-,-,8' 4'',6' 7.25''
500,Zaza Pachulia,6-11,280,None,Georgia,2003,2,42,210.82,,,,,
501,Keith Bogans,6-5,215,Kentucky,USA,2003,2,43,195.58,8.00%,-,-,8' 5'',6' 9.25''
502,Matt Bonner,6-10,235,Florida,USA,2003,2,45,208.28,13.60%,-,-,8' 9.5'',6' 8.75''
503,Mo Williams,6-1,195,Alabama,USA,2003,2,47,185.42,6.70%,-,-,8' 2.5'',6' 5.5''
504,James Lang,6-10,305,None,USA,2003,2,48,208.28,21.40%,-,-,9' 2'',7' 6.25''
505,James Jones,6-8,215,Miami (FL),USA,2003,2,49,203.2,6.70%,-,-,8' 11.5'',7' 2.5''
506,Dwyane Wade,6-4,220,Marquette,USA,2003,1,5,193.04,6.70%,-,-,8' 6'',6' 10.75''
507,Kyle Korver,6-7,212,Creighton,USA,2003,2,51,200.66,6.70%,-,-,8' 6.5'',6' 9.5''
508,Brandon Hunter,6-7,260,Ohio,USA,2003,2,56,200.66,8.00%,-,-,8' 9.5'',7' 2.75''
509,Andreas Glyniadakis,7-1,280,None,USA,2003,2,58,215.9,,,,,
510,Chris Kaman,7-0,265,Central Michigan,USA,2003,1,6,213.36,16.30%,-,-,9' 2.5'',6' 11.75''
511,Kirk Hinrich,6-4,190,Kansas,USA,2003,1,7,193.04,5.30%,-,-,8' 2.5'',6' 6''
512,T.J. Ford,6-0,165,Texas,USA,2003,1,8,182.88,6.70%,-,-,7' 9.5'',5' 11.5''
513,Michael Sweetney,6-8,270,Georgetown,USA,2003,1,9,203.2,14.10%,-,-,8' 11.5'',7' 1''
514,Dwight Howard,6-11,265,None,USA,2004,1,1,210.82,10.50%,-,-,9' 3.5'',7' 4.5''
515,Luke Jackson,6-7,215,Oregon,USA,2004,1,10,200.66,8.00%,-,-,8' 7'',6' 8.5''
516,Andris Biedrins,7-0,242,None,Latvia,2004,1,11,213.36,9.30%,-,-,,
517,Robert Swift,7-1,245,None,USA,2004,1,12,215.9,,,,,
518,Sebastian Telfair,6-0,170,None,,2004,1,13,182.88,,,,,
519,Kris Humphries,6-9,235,Minnesota,USA,2004,1,14,205.74,6.70%,-,-,8' 10.5'',7' 0.5''
520,Al Jefferson,6-10,289,None,USA,2004,1,15,208.28,10.50%,-,-,9' 2'',7' 2.5''
521,Kirk Snyder,6-6,225,Nevada-Reno,USA,2004,1,16,198.12,9.30%,-,-,8' 8'',6' 9''
522,Josh Smith,6-9,225,None,USA,2004,1,17,205.74,6.70%,-,-,8' 10.5'',7' 0''
523,JR Smith,6-6,220,None,USA,2004,1,18,198.12,,,,,
524,Dorell Wright,6-9,205,None,USA,2004,1,19,205.74,,,,,
525,Emeka Okafor,6-10,255,Connecticut,USA,2004,1,2,208.28,5.30%,-,-,9' 2.5'',7' 4''
526,Jameer Nelson,6-0,190,None,USA,2004,1,20,182.88,8.00%,-,-,7' 11'',6' 2.5''
527,Pavel Podkolzin,7-5,260,None,Russia,2004,1,21,226.06,16.30%,,,9' 8'',7' 5.75''
528,Viktor Khryapa,6-9,218,None,Russia,2004,1,22,205.74,,,,,
529,Sergei Monia,6-8,220,None,Russia,2004,1,23,203.2,,,,,
530,Delonte West,6-3,180,None,,2004,1,24,190.5,6.70%,-,-,8' 3.5'',6' 6''
531,Tony Allen,6-4,213,Oklahoma State,USA,2004,1,25,193.04,6.70%,-,-,8' 6'',6' 9''
532,Kevin Martin,6-7,185,Western Carolina,USA,2004,1,26,200.66,,,,,
533,Sasha Vujacic,6-7,205,None,Slovenia,2004,1,27,200.66,14.10%,,,8' 5'',6' 5.5''
534,Beno Udrih,6-3,203,None,Slovenia,2004,1,28,190.5,9.30%,-,-,8' 2'',6' 4.5''
535,David Harrison,7-0,280,Colorado,USA,2004,1,29,213.36,,,,,
536,Ben Gordon,6-3,200,Connecticut,USA,2004,1,3,190.5,5.30%,-,-,8' 3'',6' 8.5''
537,Anderson Varejao,6-11,260,None,Brazil,2004,2,30,210.82,,,,,
538,Jackson Vroman,6-10,220,Iowa State,USA,2004,2,31,208.28,6.70%,-,-,8' 9.5'',7' 0''
539,Peter John Ramos,7-3,275,None,Puerto Rico,2004,2,32,220.98,,,,,
540,Lionel Chalmers,6-0,180,Xavier,USA,2004,2,33,182.88,,,,,
541,Donta Smith,6-7,215,S.E.Illinois,USA,2004,2,34,200.66,,,,,
542,Andre Emmett,6-5,230,Texas Tech,,2004,2,35,195.58,6.70%,-,-,8' 4'',6' 9''
543,Antonio Burks,6-0,195,Memphis,USA,2004,2,36,182.88,9.90%,-,-,8' 0.5'',6' 6.5''
544,Royal Ivey,6-4,215,Brigham Young,USA,2004,2,37,193.04,,,,,
545,Chris Duhon,6-1,190,Duke,USA,2004,2,38,185.42,6.70%,-,-,8' 2'',6' 6.5''
546,Shaun Livingston,6-7,175,None,USA,2004,1,4,200.66,6.70%,-,-,8' 9.5'',6' 11''
547,Justin Reed,6-8,240,Mississippi,USA,2004,2,40,203.2,,,,,
548,Trevor Ariza,6-8,210,UCLA,USA,2004,2,43,203.2,8.00%,-,-,8' 11.5'',7' 2''
549,Bernard Robinson,6-6,210,Michigan,USA,2004,2,45,198.12,6.00%,-,-,8' 6'',6' 10''
550,Ha Ha,7-3,305,Yonsei (KOR),South Korea,2004,2,46,220.98,,,,,
551,Pape Sow,6-10,250,Cal State-Fullerton,Senegal,2004,2,47,208.28,9.30%,-,-,9' 0.5'',7' 2''
552,Devin Harris,6-3,192,Wisconsin,USA,2004,1,5,190.5,5.30%,-,-,8' 2.5'',6' 7.5''
553,Vassilis Spanoulis,6-4,195,None,USA,2004,2,50,193.04,,,,,
554,Matt Freije,6-10,249,Vanderbilt,USA,2004,2,53,208.28,10.80%,-,-,9' 0.5'',7' 1''
555,Luis Flores,6-2,195,Manhattan,USA,2004,2,55,187.96,6.00%,-,-,8' 2.5'',6' 7.5''
556,Josh Childress,6-8,210,Stanford,USA,2004,1,6,203.2,9.30%,-,-,8' 9'',6' 11''
557,Luol Deng,6-9,220,Duke,United Kingdo...,2004,1,7,205.74,6.70%,-,-,9' 0.5'',7' 0.5''
558,Rafael Araujo,6-11,280,Brigham Young,Brazil,2004,1,8,210.82,,,,,
559,Andre Iguodala,6-6,207,Arizona,USA,2004,1,9,198.12,6.70%,-,-,8' 9.5'',6' 11''
560,Andrew Bogut,7-0,260,Utah,Australia,2005,1,1,213.36,-%,-,-,9' 2.5'',7' 3''
561,Andrew Bynum,7-0,285,None,USA,2005,1,10,213.36,,,,,
562,Sean May,6-9,266,North Carolina,USA,2005,1,13,205.74,-%,-,-,8' 9'',7' 1.25''
563,Rashad McCants,6-4,210,North Carolina,USA,2005,1,14,193.04,-%,-,-,8' 7.5'',6' 10.75''
564,Antoine Wright,6-7,215,Texas A&M,USA,2005,1,15,200.66,-%,-,-,8' 8.5'',6' 8.75''
565,Joey Graham,6-7,225,Oklahoma State,USA,2005,1,16,200.66,-%,-,-,8' 8'',6' 8''
566,Danny Granger,6-8,228,New Mexico,USA,2005,1,17,203.2,-%,-,-,8' 7'',7' 1.5''
567,Gerald Green,6-8,200,None,USA,2005,1,18,203.2,-%,-,-,8' 8'',6' 9.75''
568,Hakim Warrick,6-9,219,Syracuse,USA,2005,1,19,205.74,-%,-,-,9' 0'',7' 2''
569,Marvin Williams,6-9,245,North Carolina,USA,2005,1,2,205.74,-%,-,-,9' 0'',7' 3.5''
570,Julius Hodge,6-7,210,North Carolina State,USA,2005,1,20,200.66,-%,-,-,8' 11.5'',7' 0.5''
571,Nate Robinson,5-9,180,Washington,USA,2005,1,21,175.26,6.70%,,,7' 7.5'',6' 1''
572,Jarrett Jack,6-3,197,Georgia Tech,USA,2005,1,22,190.5,-%,-,-,8' 4'',6' 7.5''
573,Francisco Garcia,6-7,195,Louisville,Dominican Rep...,2005,1,23,200.66,-%,-,-,8' 7'',6' 10.75''
574,Luther Head,6-3,185,Illinois,USA,2005,1,24,190.5,-%,-,-,8' 2.5'',6' 5.25''
575,Johan Petro,7-0,247,None,France,2005,1,25,213.36,,,,,
