"X","Unnamed..0","Player","Height","Weight","College","Country","Draft_Year","Draft_Round","Draft_Number","Height_cm","Body_fat","Hand_length","Hand_width","Standing_reach","Wingspan","Wingspan_cm","Standing_reach_cm","period","Nationality"
117,117,"Anfernee Hardaway","6-7",215,"Memphis","USA",1993,1,"3",200.66,"","","","",NA,NA,NA,"before 2002","US player"
118,118,"Nick Van Exel","6-1",195,"Cincinnati","USA",1993,2,"37",185.42,"","","","",NA,NA,NA,"before 2002","US player"
119,119,"Jamal Mashburn","6-8",247,"Kentucky","USA",1993,1,"4",203.2,"","","","",NA,NA,NA,"before 2002","US player"
120,120,"Bryon Russell","6-7",225,"Long Beach State","USA",1993,2,"45",200.66,"","","","",NA,NA,NA,"before 2002","US player"
121,121,"Chris Whitney","6-0",175,"Clemson","USA",1993,2,"47",182.88,"","","","",NA,NA,NA,"before 2002","US player"
122,122,"Calbert Cheaney","6-7",217,"Indiana","USA",1993,1,"6",200.66,"","","","",NA,NA,NA,"before 2002","US player"
123,123,"Vin Baker","6-11",250,"Hartford","USA",1993,1,"8",210.82,"","","","",NA,NA,NA,"before 2002","US player"
124,124,"Rodney Rogers","6-7",255,"Wake Forest","USA",1993,1,"9",200.66,"","","","",NA,NA,NA,"before 2002","US player"
125,125,"Glenn Robinson","6-7",230,"Purdue","USA",1994,1,"1",200.66,"","","","",NA,NA,NA,"before 2002","US player"
126,126,"Eddie Jones","6-6",200,"Temple","USA",1994,1,"10",198.12,"","","","",NA,NA,NA,"before 2002","US player"
127,127,"Carlos Rogers","6-11",232,"Tennessee State","USA",1994,1,"11",210.82,"","","","",NA,NA,NA,"before 2002","US player"
128,128,"Jalen Rose","6-8",217,"Michigan","USA",1994,1,"13",203.2,"","","","",NA,NA,NA,"before 2002","US player"
129,129,"Eric Piatkowski","6-6",215,"Nebraska","USA",1994,1,"15",198.12,"","","","",NA,NA,NA,"before 2002","US player"
130,130,"Aaron McKie","6-5",209,"Temple","USA",1994,1,"17",195.58,"","","","",NA,NA,NA,"before 2002","US player"
131,131,"Jason Kidd","6-4",210,"California","USA",1994,1,"2",193.04,"","","","",NA,NA,NA,"before 2002","US player"
132,132,"Wesley Person","6-6",200,"Auburn","USA",1994,1,"23",198.12,"","","","",NA,NA,NA,"before 2002","US player"
133,133,"Monty Williams","6-8",225,"Notre Dame","USA",1994,1,"24",203.2,"","","","",NA,NA,NA,"before 2002","US player"
134,134,"Charlie Ward","6-2",185,"Florida State","USA",1994,1,"26",187.96,"","","","",NA,NA,NA,"before 2002","US player"
135,135,"Grant Hill","6-8",225,"Duke","USA",1994,1,"3",203.2,"","","","",NA,NA,NA,"before 2002","US player"
136,136,"Howard Eisley","6-2",180,"Boston College","USA",1994,2,"30",187.96,"","","","",NA,NA,NA,"before 2002","US player"
137,137,"Michael Smith","6-8",240,"Shaw","USA",1994,2,"35",203.2,"","","","",NA,NA,NA,"before 2002","US player"
138,138,"Anthony Miller","6-9",255,"Michigan State","USA",1994,2,"39",205.74,"","","","",NA,NA,NA,"before 2002","US player"
139,139,"Donyell Marshall","6-9",230,"Connecticut","USA",1994,1,"4",205.74,"","","","",NA,NA,NA,"before 2002","US player"
140,140,"Voshon Lenard","6-4",205,"Minnesota","USA",1994,2,"46",193.04,"","","","",NA,NA,NA,"before 2002","US player"
141,141,"Juwan Howard","6-9",250,"Michigan","USA",1994,1,"5",205.74,"","","","",NA,NA,NA,"before 2002","US player"
142,142,"Lawrence Funderburke","6-9",230,"Ohio State","USA",1994,2,"51",205.74,"","","","",NA,NA,NA,"before 2002","US player"
143,143,"Anthony Goldwire","6-2",182,"Houston","USA",1994,2,"52",187.96,"","","","",NA,NA,NA,"before 2002","US player"
144,144,"Zeljko Rebraca","7-0",257,"None","Yugoslavia",1994,2,"54",213.36,"","","","",NA,NA,NA,"before 2002","Foreign player"
145,145,"Lamond Murray","6-7",236,"California","USA",1994,1,"7",200.66,"","","","",NA,NA,NA,"before 2002","US player"
146,146,"Brian Grant","6-9",254,"Xavier","USA",1994,1,"8",205.74,"","","","",NA,NA,NA,"before 2002","US player"
147,147,"Eric Montross","7-0",270,"North Carolina","USA",1994,1,"9",213.36,"","","","",NA,NA,NA,"before 2002","US player"
148,148,"Joe Smith","6-10",225,"Maryland","USA",1995,1,"1",208.28,"","","","",NA,NA,NA,"before 2002","US player"
149,149,"Kurt Thomas","6-9",230,"Texas Christian","USA",1995,1,"10",205.74,"","","","",NA,NA,NA,"before 2002","US player"
150,150,"Gary Trent","6-8",250,"Ohio","USA",1995,1,"11",203.2,"","","","",NA,NA,NA,"before 2002","US player"
151,151,"Cherokee Parks","6-11",240,"Duke","USA",1995,1,"12",210.82,"","","","",NA,NA,NA,"before 2002","US player"
152,152,"Corliss Williamson","6-7",245,"Arkansas","USA",1995,1,"13",200.66,"","","","",NA,NA,NA,"before 2002","US player"
153,153,"Eric Williams","6-8",220,"Providence","USA",1995,1,"14",203.2,"","","","",NA,NA,NA,"before 2002","US player"
154,154,"Brent Barry","6-6",203,"Oregon State","USA",1995,1,"15",198.12,"","","","",NA,NA,NA,"before 2002","US player"
155,155,"Alan Henderson","6-9",240,"Indiana","USA",1995,1,"16",205.74,"","","","",NA,NA,NA,"before 2002","US player"
156,156,"Bob Sura","6-5",200,"Florida State","USA",1995,1,"17",195.58,"","","","",NA,NA,NA,"before 2002","US player"
157,157,"Theo Ratliff","6-10",230,"Wyoming","USA",1995,1,"18",208.28,"","","","",NA,NA,NA,"before 2002","US player"
158,158,"Antonio McDyess","6-9",245,"Alabama","USA",1995,1,"2",205.74,"","","","",NA,NA,NA,"before 2002","US player"
159,159,"Jason Caffey","6-8",256,"Alabama","USA",1995,1,"20",203.2,"","","","",NA,NA,NA,"before 2002","US player"
160,160,"Michael Finley","6-7",215,"Wisconsin","USA",1995,1,"21",200.66,"","","","",NA,NA,NA,"before 2002","US player"
161,161,"Travis Best","5-11",181,"Georgia Tech","USA",1995,1,"23",180.34,"","","","",NA,NA,NA,"before 2002","US player"
