,PLAYER,TEAM,PER,RK,Height_cm,Weight
244,Lance Stephenson,LAL,11.86,245.0,198.12,230.0
245,Ish Smith,DET,11.86,,182.88,175.0
246,Wayne Ellington,DET,11.83,247.0,195.58,200.0
247,Vince Carter,ATL,11.83,,198.12,220.0
248,Patrick Beverley,LAC,11.79,249.0,185.42000000000002,185.0
249,Lonzo Ball,LAL,11.76,250.0,198.12,190.0
250,Jamal Crawford,PHX,11.75,251.0,195.58,185.0
251,Markieff Morris,OKC,11.74,252.0,208.28,245.0
252,Shaun Livingston,GS,11.71,253.0,200.66,192.0
253,Dwayne Bacon,CHA,11.7,254.0,200.66,221.0
254,Tim Frazier,NO,11.69,255.0,185.42000000000002,170.0
255,Doug McDermott,IND,11.64,256.0,203.2,225.0
256,Evan Turner,POR,11.61,257.0,200.66,220.0
257,Ersan Ilyasova,MIL,11.6,258.0,208.28,235.0
258,Ryan Arcidiacono,CHI,11.59,259.0,190.5,200.0
259,Cameron Payne,CHI,11.58,260.0,190.5,190.0
260,Tyreke Evans,IND,11.54,261.0,198.12,220.0
261,Cedi Osman,CLE,11.53,262.0,203.2,215.0
262,E'Twaun Moore,NO,11.52,263.0,193.04,191.0
263,Furkan Korkmaz,PHI,11.49,264.0,200.66,190.0
264,Gerald Green,HOU,11.41,265.0,200.66,205.0
265,Dion Waiters,MIA,11.4,266.0,193.04,215.0
266,Seth Curry,POR,11.4,,187.96,185.0
267,Justin Jackson,DAL,11.38,268.0,203.2,210.0
268,Thon Maker,DET,11.37,269.0,215.9,221.0
269,Kyle Korver,CLE,11.29,270.0,200.66,212.0
270,Tyson Chandler,LAL,11.25,271.0,215.9,240.0
271,Dante Exum,UTAH,11.24,272.0,198.12,190.0
272,Tyler Dorsey,ATL,11.23,273.0,195.58,183.0
273,Alfonzo McKinnie,GS,11.2,274.0,203.2,215.0
274,Troy Brown Jr.,WSH,11.13,275.0,200.66,215.0
275,Matthew Dellavedova,CLE,11.08,276.0,193.04,200.0
276,Dorian Finney-Smith,DAL,11.07,277.0,203.2,220.0
277,Juan Hernangomez,DEN,11.03,278.0,205.74,
278,Will Barton,DEN,11.03,,198.12,190.0
279,Cory Joseph,IND,11.02,280.0,190.5,193.0
280,Rodions Kurucs,BKN,11.01,281.0,205.74,210.0
281,Landry Shamet,LAC,10.99,282.0,195.58,188.0
282,James Ennis III,HOU,10.98,283.0,200.66,210.0
283,Nik Stauskas,CLE,10.97,284.0,198.12,205.0
284,James Johnson,MIA,10.96,285.0,203.2,240.0
285,Sterling Brown,MIL,10.93,286.0,198.12,232.0
286,Mario Hezonja,NY,10.88,287.0,203.2,225.0
287,Jerian Grant,ORL,10.86,288.0,193.04,205.0
288,Mike Muscala,LAL,10.85,289.0,210.82,240.0
