Player,Height_cm
Jeff Teague,187.96
Hasheem Thabeet,220.98
Eric Maynor,190.5
Darren Collison,182.88
Victor Claver,205.74
Omri Casspi,205.74
Byron Mullens,213.36
Rodrigue Beaubois,187.96
Taj Gibson,205.74
DeMarre Carroll,203.2
Wayne Ellington,193.04
Toney Douglas,187.96
James Harden,195.58
Christian Eyenga,200.66
Jeff Ayres,205.74
Jermaine Taylor,193.04
Dante Cunningham,203.2
DaJuan Summers,203.2
Sam Young,198.12
DeJuan Blair,200.66
Jon Brockman,200.66
Jonas Jerebko,208.28
Tyreke Evans,198.12
Derrick Brown,203.2
Jodie Meeks,193.04
Patrick Beverley,185.42
Marcus Thornton,193.04
Chase Budinger,200.66
Nick Calathes,198.12
Danny Green,198.12
Taylor Griffin,200.66
Ricky Rubio,193.04
AJ Price,187.96
Nando De Colo,195.58
Patty Mills,182.88
Lester Hudson,190.5
Jonny Flynn,182.88
Stephen Curry,190.5
Jordan Hill,208.28
DeMar DeRozan,200.66
John Wall,193.04
Paul George,203.2
Cole Aldrich,210.82
Xavier Henry,198.12
Ed Davis,208.28
Patrick Patterson,205.74
Larry Sanders,210.82
Luke Babbitt,205.74
Kevin Seraphin,205.74
Eric Bledsoe,185.42
Avery Bradley,187.96
Evan Turner,200.66
James Anderson,198.12
Craig Brackins,208.28
Elliot Williams,195.58
Trevor Booker,203.2
Damion James,200.66
Dominique Jones,195.58
Quincy Pondexter,198.12
Jordan Crawford,193.04
Greivis Vasquez,198.12
Daniel Orton,208.28
Derrick Favors,208.28
Lazar Hayward,198.12
Tibor Pleiss,220.98
Dexter Pittman,210.82
Hassan Whiteside,213.36
Armon Johnson,190.5
Nemanja Bjelica,208.28
Darington Hobson,200.66
Andy Rautins,193.04
Landry Fields,200.66
Wesley Johnson,200.66
Lance Stephenson,195.58
Jarvis Varnado,205.74
Devin Ebanks,205.74
Jerome Jordan,213.36
Gani Lawal,205.74
DeMarcus Cousins,210.82
Solomon Alabi,215.9
Luke Harangody,200.66
Pape Sy,200.66
Willie Warren,193.04
Jeremy Evans,205.74
Hamady Ndiaye,213.36
Ryan Reid,203.2
Derrick Caracter,205.74
Ekpe Udoh,208.28
Greg Monroe,210.82
Al-Farouq Aminu,205.74
Gordon Hayward,203.2
Kyrie Irving,190.5
Jimmer Fredette,187.96
Klay Thompson,200.66
Alec Burks,198.12
Markieff Morris,208.28
Marcus Morris Sr.,205.74
Kawhi Leonard,200.66
Nikola Vucevic,213.36
Iman Shumpert,195.58
Chris Singleton,203.2
Tobias Harris,203.2
Derrick Williams,203.2
Donatas Motiejunas,213.36
Nolan Smith,187.96
Kenneth Faried,203.2
Nikola Mirotic,208.28
Reggie Jackson,190.5
MarShon Brooks,195.58
Jordan Hamilton,200.66
JaJuan Johnson,208.28
Norris Cole,187.96
Cory Joseph,190.5
Enes Kanter,210.82
Jimmy Butler,200.66
Bojan Bogdanovic,203.2
Justin Harper,208.28
Kyle Singler,203.2
Shelvin Mack,190.5
Tyler Honeycutt,203.2
Jordan Williams,208.28
Trey Thompkins,208.28
Chandler Parsons,205.74
Jeremy Tyler,208.28
Tristan Thompson,205.74
Jon Leuer,208.28
Darius Morris,193.04
Davis Bertans,208.28
Malcolm Lee,195.58
Charles Jenkins,190.5
Josh Harrellson,208.28
Andrew Goudelock,190.5
Travis Leslie,193.04
Keith Benson,210.82
Josh Selby,187.96
Jonas Valanciunas,213.36
Lavoy Allen,205.74
Vernon Macklin,208.28
DeAndre Liggins,198.12
E'Twaun Moore,193.04
Jan Vesely,210.82
Isaiah Thomas,175.26
Bismack Biyombo,205.74
Brandon Knight,190.5
Kemba Walker,185.42
Xavier Silas,195.58
Anthony Davis,208.28
Austin Rivers,193.04
Meyers Leonard,215.9
Jeremy Lamb,195.58
Kendall Marshall,193.04
John Henson,210.82
Maurice Harkless,205.74
Royce White,203.2
Tyler Zeller,213.36
Terrence Jones,205.74
Andrew Nicholson,205.74
Michael Kidd-Gilchrist,200.66
Evan Fournier,200.66
Jared Sullinger,205.74
Fab Melo,213.36
John Jenkins,193.04
Jared Cunningham,193.04
Tony Wroten,198.12
Miles Plumlee,210.82
Arnett Moultrie,208.28
Perry Jones III,210.82
Marquis Teague,187.96
Bradley Beal,195.58
Festus Ezeli,210.82
Jeffery Taylor,200.66
Tomas Satoransky,200.66
Bernard James,208.28
Jae Crowder,198.12
Draymond Green,200.66
Orlando Johnson,195.58
Quincy Acy,200.66
Quincy Miller,205.74
Khris Middleton,203.2
Dion Waiters,193.04
Will Barton,198.12
Tyshawn Taylor,190.5
Doron Lamb,193.04
Mike Scott,203.2
Kim English,198.12
Justin Hamilton,213.36
Darius Miller,203.2
Kevin Murphy,198.12
Kostas Papanikolaou,203.2
Kyle O'Quinn,208.28
Thomas Robinson,208.28
Kris Joseph,200.66
Ognjen Kuzmic,213.36
Furkan Aldemir,208.28
Tornike Shengelia,205.74
Darius Johnson-Odom,187.96
Robbie Hummel,203.2
Damian Lillard,190.5
Robert Sacre,213.36
Harrison Barnes,203.2
Terrence Ross,200.66
Andre Drummond,210.82
Anthony Bennett,203.2
CJ McCollum,190.5
Michael Carter-Williams,198.12
Steven Adams,213.36
Kelly Olynyk,213.36
Shabazz Muhammad,198.12
Giannis Antetokounmpo,210.82
Lucas Nogueira,213.36
Dennis Schroder,185.42
Shane Larkin,180.34
Sergey Karasev,200.66
Victor Oladipo,193.04
Tony Snell,200.66
Gorgui Dieng,210.82
Mason Plumlee,210.82
Solomon Hill,200.66
Tim Hardaway Jr.,198.12
Reggie Bullock,200.66
Andre Roberson,200.66
Rudy Gobert,215.9
Archie Goodwin,195.58
Otto Porter Jr.,203.2
Nemanja Nedovic,190.5
Allen Crabbe,198.12
Alex Abrines,198.12
Carrick Felix,198.12
Isaiah Canaan,182.88
Glen Rice,198.12
Ray McCallum,190.5
Tony Mitchell,203.2
Nate Wolters,193.04
Jeff Withey,213.36
Cody Zeller,213.36
Grant Jerrett,208.28
Jamaal Franklin,195.58
Pierre Jackson,177.8
Ricky Ledo,200.66
Mike Muscala,210.82
Erick Green,193.04
Raul Neto,185.42
Ryan Kelly,210.82
Erik Murphy,208.28
Alex Len,215.9
James Ennis III,200.66
Lorenzo Brown,195.58
Joffrey Lauvergne,210.82
Peyton Siva,182.88
Nerlens Noel,210.82
Ben McLemore,195.58
Kentavious Caldwell-Pope,195.58
Trey Burke,185.42
Andrew Wiggins,203.2
Elfrid Payton,193.04
Doug McDermott,203.2
Dario Saric,208.28
Zach LaVine,195.58
T.J. Warren,203.2
Adreian Payne,208.28
Jusuf Nurkic,213.36
James Young,198.12
Tyler Ennis,190.5
Gary Harris,193.04
Jabari Parker,203.2
Bruno Caboclo,205.74
Mitch McGary,208.28
Jordan Adams,195.58
Rodney Hood,203.2
Shabazz Napier,185.42
Clint Capela,208.28
PJ Hairston,198.12
Bogdan Bogdanovic,198.12
C.J. Wilcox,195.58
Josh Huestis,200.66
Joel Embiid,213.36
Kyle Anderson,205.74
Damien Inglis,203.2
KJ McDaniels,198.12
Joe Harris,198.12
Cleanthony Early,203.2
Jarnell Stokes,205.74
Johnny O'Bryant III,205.74
Spencer Dinwiddie,198.12
Jerami Grant,205.74
Aaron Gordon,205.74
Glenn Robinson III,200.66
Nikola Jokic,208.28
Nick Johnson,190.5
Edy Tavares,220.98
Markel Brown,190.5
Dwight Powell,210.82
Jordan Clarkson,195.58
Russ Smith,182.88
Lamar Patterson,195.58
Cameron Bairstow,205.74
Dante Exum,198.12
Thanasis Antetokounmpo,200.66
Semaj Christon,190.5
Devyn Marble,198.12
Jordan McRae,195.58
Marcus Smart,193.04
Cory Jefferson,205.74
Julius Randle,205.74
Nik Stauskas,198.12
Noah Vonleh,205.74
Karl-Anthony Towns,213.36
Justise Winslow,200.66
Myles Turner,210.82
Trey Lyles,208.28
Devin Booker,198.12
Cameron Payne,190.5
Kelly Oubre Jr.,200.66
Terry Rozier,187.96
Rashad Vaughn,198.12
Sam Dekker,205.74
Jerian Grant,193.04
D'Angelo Russell,195.58
Delon Wright,195.58
Justin Anderson,198.12
Bobby Portis,210.82
Rondae Hollis-Jefferson,200.66
Tyus Jones,187.96
Jarell Martin,208.28
Larry Nance Jr.,205.74
RJ Hunter,195.58
Chris McCullough,205.74
Jahlil Okafor,210.82
Kevon Looney,205.74
Cedi Osman,203.2
Montrezl Harrell,203.2
Jordan Mickey,203.2
Anthony Brown,200.66
Willy Hernangomez,210.82
Rakeem Christmas,205.74
Richaun Holmes,208.28
Darrun Hilliard,198.12
